"","IM00","IM02","IM04","IM06","IM09","IM12","IM18","IM24","IM48"
"Hs.13291",1.150402038,1.948353108,3.554204389,3.99598282,4.440455245,3.357708865,3.615785142,3.997610942,2.942184843
"Hs.132966",0.179082865,0.182443226,0.174393401,0.180847495,0.16020284,0.163601068,0.157689377,0.161274346,0.1656071
"Hs.132992",0.518684111,0.49071899,0.471953794,0.504854578,0.435185675,0.493399106,0.446889251,0.492912423,0.462999062
"Hs.133135",0.76588423,0.919812478,0.851849181,0.916707988,0.829583955,1.097614472,1.0762754,1.051589914,1.216889151
"Hs.133379",0.911253777,0.856465038,0.887028197,0.931526195,0.851309863,0.888643853,0.886058691,0.910968325,0.827274194
"Hs.133892",1.097418175,1.152401375,1.127847705,1.211468942,1.113604644,0.986662085,0.95875408,0.921171389,0.966464261
"Hs.134084",1.734891371,1.658825877,1.508187952,1.507047707,1.385167526,1.44187721,1.31694201,1.302508537,1.565367432
"Hs.134194",1.10057696,1.17744515,1.175522971,1.117226627,1.112258549,1.13773619,1.146992021,1.187994101,1.204446723
"Hs.1349",1.002615461,0.935751194,0.925782764,0.937047344,0.954466933,0.913821088,0.944231433,0.903773645,0.979913877
"Hs.134989",0.575049353,0.532713669,0.337308089,0.358688087,0.365368519,0.448978151,0.406514137,0.658981661,0.497326341
"Hs.134999",0.444564877,0.441995024,0.395788519,0.384017467,0.364364167,0.419146711,0.420843537,0.379611568,0.344915558
"Hs.135270",0.847608419,0.844186263,0.783336607,0.801179881,0.791794785,0.83751409,0.807998938,0.810311849,0.881992491
"Hs.135406",0.779718738,0.69292651,0.656251049,0.618114725,0.672204716,0.644665217,0.592530333,0.693384874,0.741560269
"Hs.1360",0.740803454,0.720694245,0.691363582,0.683645531,0.754710922,0.720060218,0.716093351,0.840897961,0.740292968
"Hs.1361",1.105693674,1.137083752,1.046040607,1.117017108,1.135466777,1.201641264,1.178998654,1.085398086,1.161241643
"Hs.136295",0.987327641,0.99289864,0.966511109,0.973597476,0.920837223,0.933528635,0.947418423,0.937445773,0.889864399
"Hs.136348",3.342866171,3.551922956,5.362975606,6.023237534,7.45698839,7.860601354,8.186970813,10.18290199,4.914834678
"Hs.136557",1.15410421,1.217541866,1.122535806,1.038142304,1.11958349,1.145384514,1.186967491,1.075669663,1.125368806
"Hs.137569",0.997684142,1.020623543,1.01470364,1.015849935,0.953556227,0.9640318,0.978544685,0.99722473,0.983156109
"Hs.139322",1.014764532,1.041437495,0.96255229,0.928035987,1.074959768,1.07669415,1.127045754,0.985211489,1.090855614
"Hs.1395",1.882365765,0.944458291,0.827284604,0.866285228,0.838227171,0.904867933,0.87427765,1.058686067,1.657249755
"Hs.141125",1.026166849,0.989975659,1.203722008,1.265455752,1.401060517,1.287633354,1.287701185,1.53160001,1.436513064
"Hs.1420",0.477339934,0.467819387,0.43428122,0.45479158,0.425001519,0.458691453,0.426871466,0.395437905,0.440108802
"Hs.1428",1.114875616,1.197128715,1.1536479,1.099404442,1.155810593,1.138023612,1.119695994,1.152038194,1.110723796
"Hs.1430",1.081427823,1.280832793,1.208364452,1.281199216,1.323193276,1.336536793,1.264297986,1.348042993,1.022396299
"Hs.1437",0.364758891,0.362248608,0.349963242,0.414718829,0.385095531,0.513233074,0.76550769,0.87427817,1.310448964
"Hs.143873",0.053421822,0.063871592,0.047437082,0.051193573,0.040821196,0.040143826,0.03986323,0.041792818,0.03709004
"Hs.144287",0.720464935,0.762987377,0.728362987,0.731203066,0.692283405,0.71026169,0.690572913,0.687719181,0.698483757
"Hs.1454",1.032708397,1.09273267,1.075255182,0.96101311,1.018840584,1.05198973,1.001380487,1.074935217,1.103294029
"Hs.146591",0.652290231,0.67198237,0.639095112,0.663011178,0.607814054,0.606456182,0.605869113,0.589919997,0.650311769
"Hs.1466",0.793578059,0.810598005,0.792776504,0.782274899,0.828005941,0.814864446,0.711816695,0.747030206,0.649304318
"Hs.146804",1.161734648,1.291313387,1.639502947,1.53858044,1.869639105,1.392716698,1.566296509,1.662980383,1.726019201
"Hs.147433",0.491128105,0.569389996,0.727219118,0.748784994,0.73050007,0.649795262,0.501856683,0.421948992,0.456655413
"Hs.148427",1.12570968,1.093500498,1.073881338,1.079858083,1.069821902,1.081389031,1.039456915,1.079168768,1.048020923
"Hs.14846",1.278121003,1.078474016,0.875569176,0.831887094,0.760232994,0.725343015,0.694130868,0.626451757,0.889592695
"Hs.148841",1.169083542,1.294631026,1.176188519,1.09608017,1.099982766,1.07841809,1.123973055,1.219163422,1.096995354
"Hs.149195",1.174031734,1.101776284,1.164397514,1.101528081,1.162341345,1.100443255,1.128785397,1.162248388,1.089633539
"Hs.149252",0.137993066,0.141731243,0.13273759,0.142947521,0.116974228,0.13876728,0.129691846,0.120758526,0.137594135
"Hs.149342",1.148438039,1.075955627,1.089994201,1.197873698,1.109226672,1.099554757,1.041492154,1.051141728,1.013662469
